unit,Fishes (non-tuna),Tuna,Birds,Small Mammal,Hare,Medium mammal,Equid,Cervidae,Bos,Sus scrofa,Caprines,Small Ungulate,Med Ungulate,Large Ungulate,Small Carnivore,Domestic dog
94,1,1,0,4,0,0,0,0,0,0,20,0,0,0,1,0
95,0,0,1,0,3,0,0,0,0,1,31,0,0,0,0,0
96,0,0,0,1,1,0,0,0,0,3,18,7,1,0,0,2
97,2,0,0,5,1,0,0,0,0,0,3,5,1,0,0,0
98,3,0,0,3,0,0,0,0,0,0,18,2,0,0,0,0
99,0,0,0,1,0,4,0,0,3,3,57,0,0,1,0,0
100,0,0,0,0,0,0,0,0,0,1,39,0,4,1,0,0
101,2,0,0,0,0,0,0,0,0,9,45,49,3,2,3,0
102,0,0,0,0,0,0,0,0,0,2,80,0,0,0,2,1
103,0,0,0,0,2,0,0,0,0,2,14,7,1,0,0,0
104,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0
105,3,0,0,6,0,0,0,0,1,3,31,0,1,1,4,1
106,1,0,0,0,0,0,0,0,0,2,23,0,1,0,0,0
107,0,0,0,3,3,0,0,0,0,2,35,25,5,0,1,0
108,0,0,0,2,2,0,0,1,0,1,42,44,5,0,2,0
109,5,0,0,4,4,0,0,0,1,6,200,1,2,1,0,1
110,4,0,0,2,1,0,0,0,0,1,82,0,2,0,0,0
111,0,0,0,0,5,0,0,0,0,9,41,32,14,1,3,0
112,0,0,0,0,3,0,0,0,0,5,62,0,2,0,0,0
113,0,0,0,0,0,0,0,0,0,6,58,0,3,1,0,2
114,0,0,0,0,4,2,0,0,0,11,287,2,2,2,1,7
115,1,0,0,0,1,0,0,0,0,10,139,0,59,1,0,5
116,1,0,0,2,0,0,0,0,0,26,50,0,9,0,0,0
120,3,0,0,3,21,0,1,0,1,19,158,5,4,1,6,2
121,32,0,0,5,29,5,0,0,2,49,236,0,41,8,12,1
122,42,0,0,3,19,6,0,1,1,27,215,7,1,3,5,5
123,9,0,0,0,1,0,0,0,0,3,21,6,0,0,0,0
124,11,0,0,0,4,0,0,0,1,11,48,2,1,0,0,1
125,3,0,0,2,3,0,0,0,0,2,7,2,0,1,0,0
126,0,0,0,1,0,0,0,0,0,3,8,3,1,0,0,0
127,43,1,0,10,32,0,0,0,1,26,100,1,32,0,0,5
128,12,0,0,4,2,0,0,0,0,11,14,18,0,0,0,0
129,30,0,1,6,38,0,0,0,0,5,31,64,5,5,3,1
130,7,0,0,0,3,0,0,0,0,1,11,6,0,1,0,0
131,31,1,0,4,8,0,0,5,0,10,33,36,1,8,6,6
132,13,0,0,7,13,3,0,2,0,9,53,43,8,5,5,3
133,0,0,0,0,1,0,0,1,0,0,20,6,0,0,0,0
134,7,2,0,10,9,0,1,10,1,12,39,79,8,8,5,3
135,2,0,0,3,0,0,0,0,0,0,2,7,0,2,0,0
136,5,0,0,8,3,2,0,0,0,10,59,23,2,2,1,2
137,1,0,0,3,2,0,0,1,0,14,19,18,6,0,2,0
144,8,2,0,5,8,1,0,1,0,8,62,52,0,4,2,0
145,6,1,0,0,0,0,0,1,0,5,6,15,1,1,0,0
146,3,0,0,2,0,0,0,2,1,9,24,15,1,1,4,0
147,1,0,0,0,0,0,0,0,0,1,4,14,3,2,1,0
148,13,0,0,3,5,0,0,3,2,2,9,21,1,6,2,0
149,0,0,0,0,2,0,0,1,0,2,3,3,1,0,1,0
150,0,0,1,2,3,1,0,2,0,0,10,13,4,1,1,0
151,0,0,1,13,7,0,0,2,0,4,37,51,6,3,11,0
154,0,0,1,4,0,0,0,1,1,0,56,31,2,0,7,0
156,0,0,0,3,2,1,0,3,0,1,31,30,3,1,5,0
157,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0
158,1,0,0,1,1,0,0,1,1,0,13,16,3,2,4,0
159,0,0,0,6,3,0,0,0,0,1,17,14,0,0,0,0
160,0,0,0,15,2,0,0,1,0,2,24,14,2,1,4,0
,,,,,,,,,,,,,,,,
