unit,NISP_9,Monodonta,Patella,Murex,Cerithium,Cerastoderma,Tapes,Columbella,Donax,Cyclope,NISP,Trench
77,170,14.7,4.1,4.7,21.2,1.8,2.4,1.2,48.7,1.2,176,FAS
78,49,10.2,2,2,32.7,2,6.2,10.2,32.7,2,51,FAS
79,55,18.2,1.8,3.6,12.8,0,21.9,0,40,1.8,55,FAS
80,11,18.2,0,0,9.1,0,27.3,0,45.4,0,11,FAS
81,335,5.1,4.5,0.9,19.7,0.9,2.4,1.2,65.3,0,336,FAS
82,203,3.5,2,4.9,18.7,6.4,36.5,2.4,25.1,0.5,206,FAS
83,189,1.1,4.2,6.9,10.6,1,49.2,0,27,0,198,FAS
84,113,0,1.8,7.1,18.6,0.9,52.1,0,19.5,0,117,FAS
85,86,0,4.7,3.5,16.3,7,46.4,0,22.1,0,88,FAS
86,126,0,5.6,0.8,3.2,0,62.6,1.6,26.2,0,127,FAS
87,41,0,2.4,14.6,19.5,0,29.4,4.9,26.8,2.4,41,FAS
88,58,0,5.2,1.7,6.9,1.7,37.9,1.8,43.1,1.7,58,FAS
89,196,0.5,2.5,2,10.7,3.1,44.5,1,35.2,0.5,199,FAS
90,149,0.7,0,12.8,13.4,1.3,55.4,2,14.4,0,152,FAS
91,213,3.8,2.4,11.3,17.4,5.2,37.3,3.8,16.9,1.9,218,FAS
92,16,0,0,6.3,25,0,43.8,18.7,0,6.2,17,FAS
93,146,3.4,0.7,9.6,22.6,12.3,44.5,2.1,4.1,0.7,150,FAS
94,86,1.2,3.5,7,38.4,4.7,39.4,1.2,3.5,1.1,87,FAS
95,38,7.9,0,2.6,15.8,18.4,39.5,0,15.8,0,39,FAS
96,20,15,0,5,30,5,40,0,5,0,20,FAS
97,13,0,0,7.7,53.8,0,15.7,0,15.4,7.6,13,FAS
98,139,5,2.9,4.3,30.9,7.2,32.4,2.2,12.2,2.9,142,FAS
99,108,0.9,0,8.3,20.4,9.3,51.9,0,7.4,1.8,110,FAS
100,36,5.6,0,5.6,0,19.4,58.3,0,11.1,0,36,FAS
101,44,6.8,0,2.3,11.4,22.7,36.3,4.6,13.6,2.3,45,FAS
102,78,5.1,0,5.1,18,18,46.2,0,7.6,0,78,FAS
103,108,9.3,4.6,8.3,13,17.6,31.4,1.9,12,1.9,111,FAS
104,77,5.2,2.6,3.9,14.3,41.6,27.2,1.3,3.9,0,82,FAS
105,16,12.5,0,25,0,25,18.7,6.3,12.5,0,17,FAS
106,6,0,0,0,0,50,33.3,0,16.7,0,7,FAS
107,98,10.2,0,3.1,21.4,15.3,29.6,1,18.4,1,100,FAS
108,28,3.6,0,0,17.9,39.2,25,0,10.7,3.6,29,FAS
109,137,2.2,4.4,8,1.5,13.9,36.4,2.2,31.4,0,140,FAS
110,32,3.1,0,9.4,15.6,0,21.9,0,46.9,3.1,32,FAS
111,162,0.6,2.5,4.9,21.6,3.1,60.5,2.5,3.7,0.6,163,FAS
112,147,2,0,8.2,25.2,4.8,55.8,1.3,2,0.7,151,FAS
113,83,0,3.6,13.3,15.7,4.8,61.4,1.2,0,0,85,FAS
114,8,12.5,0,37.5,12.5,12.5,12.5,0,12.5,0,11,FAS
115,69,1.5,1.4,17.4,24.6,11.6,21.8,10.1,10.1,1.5,76,FAS
116,525,4.4,1.3,19.6,24.2,12.8,17.3,6.5,9.3,4.6,575,FAS
117,1002,1.1,0.8,13.9,11.5,14.2,44.4,5.7,5.6,2.9,1105,FAS
118,96,2.1,2.1,15.6,14.6,35.4,15.5,9.4,2.1,3.2,111,FAS
119,38,2.6,2.6,0,0,47.4,31.6,5.3,7.9,2.6,39,FAS
120,347,3.2,7.2,16.1,7.5,16.1,45.8,0.3,3.2,0.6,353,FAS
121,91,0,11,15.4,8.8,12.1,46.1,2.2,2.2,2.2,94,FAS
122,233,1.3,4.3,12.5,7.7,12.9,51.5,1.3,4.7,3.8,238,FAS
123,338,1.8,5.9,11.2,15.4,8.6,45.8,2.7,3,5.6,392,FAS
124,395,1,4.3,14.7,43,6.1,17.7,1.5,8.4,3.3,403,FAS
125,6,0,16.7,16.7,50,16.6,0,0,0,0,6,FAS
126,38,0,0,18.4,21.1,2.6,50,5.3,2.6,0,39,FAS
127,6,0,0,0,33.3,66.7,0,0,0,0,6,FAS
128,62,1.6,8.1,0,27.4,41.9,8.1,0,9.7,3.2,67,FAS
129,25,8,0,0,72,4,4,4,4,4,26,FAS
130,149,1.3,4.7,3.4,32.2,44.4,4,1.3,6,2.7,150,FAS
131,114,0,0.9,2.6,57,17.4,5.3,1.8,1.8,13.2,116,FAS
132,21,4.8,0,9.5,33.3,28.6,4.8,0,9.5,9.5,21,FAS
133,5,0,0,0,60,20,0,0,0,20,6,FAS
134,44,0,0,6.8,75,11.5,2.3,0,2.2,2.2,44,FAS
135,44,0,0,4.5,93.2,2.3,0,0,0,0,44,FAS
136,87,0,0,2.3,90.7,1.2,0,1.2,0,4.6,87,FAS
137,109,0.9,0.9,1.8,94.6,0,0.9,0.9,0,0,109,FAS
