"","trenchunit","fishes_non_tuna","tuna","birds","small_mammal","hare","medium_mammal","equid","cervidae","bos","sus_scrofa","caprines","small_ungulate","med_ungulate","large_ungulate","small_carnivore","domestic_dog","cattle","pig","caprine","molluscs"
"74","FAN_83",0,0,0,0,0,0,0,0,0,3,3,5,3,0,0,0,0,0,0,NA
"75","FAN_84",3,0,0,0,3,0,0,1,0,1,23,0,0,0,0,0,0,0,0,NA
"76","FAN_85",0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,NA
"77","FAN_86",6,0,0,0,1,0,0,0,0,12,33,15,1,0,0,0,0,0,0,NA
"78","FAN_87",0,0,0,0,0,0,0,0,0,9,59,0,2,0,0,0,0,0,0,NA
"79","FAN_88",11,7,0,0,1,0,0,1,1,1,26,23,6,1,1,1,0,0,0,NA
"80","FAN_89",11,3,0,3,2,0,0,1,1,12,48,0,0,0,1,0,0,0,0,NA
"81","FAN_90",2,1,0,3,0,0,0,0,0,2,62,0,0,0,0,0,0,0,0,NA
"82","FAN_91",0,0,0,1,4,0,0,7,0,3,12,9,7,0,0,1,0,0,0,NA
"83","FAN_92",0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,NA
"84","FAN_93",0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,NA
"85","FAN_94",1,1,0,4,0,0,0,0,0,0,20,0,0,0,1,0,0,0,0,NA
"86","FAN_95",0,0,1,0,3,0,0,0,0,1,31,0,0,0,0,0,0,0,0,NA
"87","FAN_96",0,0,0,1,1,0,0,0,0,3,18,7,1,0,0,2,0,0,0,NA
"88","FAN_97",2,0,0,5,1,0,0,0,0,0,3,5,1,0,0,0,0,0,0,NA
"89","FAN_98",3,0,0,3,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,NA
"90","FAN_99",0,0,0,1,0,4,0,0,3,3,57,0,0,1,0,0,0,0,0,NA
"91","FAS_100",1,0,0,0,2,0,0,0,0,1,24,7,1,0,0,0,0,0,0,36
"92","FAS_101",3,0,0,0,0,0,0,0,0,5,18,4,0,0,0,0,0,0,0,45
"93","FAS_102",4,1,0,0,2,0,0,0,0,1,15,8,2,0,0,0,0,0,0,78
"94","FAS_103",5,0,0,0,5,0,0,0,0,8,48,16,4,0,1,0,0,0,0,111
"95","FAS_104",2,0,0,0,0,0,0,0,0,4,40,10,0,0,0,0,0,0,0,82
"96","FAS_105",0,0,0,0,0,0,0,0,0,1,22,9,8,0,0,0,0,0,0,17
"97","FAS_105/106",27,1,0,0,0,0,0,0,0,3,10,5,0,0,1,1,0,0,0,NA
"98","FAS_106",0,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0,0,0,0,7
"99","FAS_107",2,0,0,0,3,0,0,0,0,4,51,10,0,0,0,0,0,0,0,100
"100","FAS_108",4,0,0,0,0,0,0,0,0,0,13,2,0,0,0,0,0,0,0,29
"101","FAS_109",19,0,0,1,3,0,0,0,1,9,54,19,6,2,2,0,0,0,0,140
"102","FAS_110",6,0,0,0,0,0,0,1,0,2,6,1,0,0,0,0,0,0,0,32
"103","FAS_111",11,0,0,6,1,0,0,1,0,4,11,4,1,0,0,1,0,0,0,163
"104","FAS_112",1,0,0,0,3,0,0,0,2,6,55,16,4,1,0,1,0,0,0,151
"105","FAS_114",0,0,0,0,0,0,0,0,0,0,13,5,1,0,0,0,0,0,0,11
"106","FAS_115",0,0,0,0,3,0,0,0,0,14,84,31,6,0,1,4,0,0,0,76
"107","FAS_117",8,2,1,7,34,1,0,0,0,89,309,0,22,6,6,14,0,0,0,1105
"108","FAS_118",73,0,0,0,6,0,0,2,0,13,22,31,6,0,4,0,0,0,0,111
"109","FAS_119",2,0,0,0,2,0,0,0,0,8,9,5,0,0,0,0,0,0,0,39
"110","FAS_120",14,0,0,0,8,0,0,5,0,13,74,0,0,0,1,0,0,0,0,353
"111","FAS_121",11,0,0,1,3,0,0,4,0,2,39,3,1,0,0,0,0,0,0,94
"112","FAS_122",12,0,0,4,16,0,0,5,1,4,51,11,5,2,4,0,0,0,0,238
"113","FAS_123",293,44,0,2,14,0,0,7,4,12,89,0,0,4,5,1,0,0,0,392
"114","FAS_124",155,7,0,0,8,0,0,0,3,8,60,6,2,2,1,1,0,0,0,403
"115","FAS_125",2,0,0,0,1,0,0,1,0,2,4,4,0,0,1,0,0,0,0,6
"116","FAS_126",0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,39
"117","FAS_127",4,0,0,0,2,0,0,0,0,4,19,6,0,0,0,0,0,0,0,6
"118","FAS_129",9,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,26
"119","FAS_130",4,2,0,0,3,0,0,1,0,20,86,0,3,0,0,0,0,0,0,150
"120","FAS_131",1,0,0,0,2,0,0,3,1,6,15,4,0,0,2,1,0,0,0,116
"121","FAS_132",0,0,0,0,1,0,0,1,0,3,5,1,1,0,0,0,0,0,0,21
"122","FAS_135",3,0,0,0,1,0,0,0,3,3,16,0,3,1,1,0,0,0,0,44
"123","FAS_136",3,2,0,0,0,0,0,0,0,0,31,0,3,6,0,0,0,0,0,87
"124","FAS_137",12,0,0,0,2,0,0,1,2,0,22,0,7,4,0,0,0,0,0,109
