"","trenchunit","zone","liters","total_flot","adonis_sp","alkanna_sp","anchusa_sp","astragalus_frigonella_sp","avena_sp","boraginaceae_sp","calendula_sp","capparis_sp","celtis_sp_tournifortii","cf_colchicum_polygonatum","coriandrum_sp","cruciferae_sp_seeds_capsules","culm_nodes_indet_frags","echium_sp","erodium_sp","fumaria_sp","gallium_sp","glume_base_indet","gramineae_indet","hordeum_vulgare_ssp","indet_frag","l_officinale","lathyrus","leguminosae","lens_sp","liliaceae_sp","lithospermum_arvense","malva_parviflora","medicago_sp","cf_medicago_frag","monocotylidonae_capsules","phalaris_sp","pistacia_cf_lentiscus","pisum_cf_elatius","pisum_vicia_pisum_of_all_sizes","polygonum_sp","prunus_amygdalus","pyrus_amygdaloformis","rachis_frag_indet","schoenus_nigricans","seed_indet","sp_no_1","spikelet_fork_indet_frags","teucrium_sp","triticum_sp","t_cf_aestivum_durum","triticum_turgidum_ssp_dicoccum","triticum_monococcum","uthospennum_dlicinale","vicia_ervilia","vicia_lathyrus_sp","vitis_vinifera_ssp_sylvestris"
"38","FAN_157",NA,43,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","FAN_158",NA,96,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","FAN_159","V/VI",32,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","FAN_160","V/VI",70,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","FAN_161","V/VI",131,11.3,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,3,0,0,0,0,0
"43","FAN_162","V/VI",66,5.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,6,0,6,0,0,0,0,0
"44","FAN_163","V/VI",299,14.9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0
"45","FAN_164","V/VI",176,17.7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","FAN_165","V/VI",132,8.2,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","FAN_166","V/VI",62,10,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","FAN_167","V/VI",132,6.7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","FAN_168",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","FAN_169","V/VI",62,10.2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"51","FAN_170","V",284,23.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","FAN_171",NA,22,1.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","FAN_172","V",423,26.4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"54","FAN_173","V",107,60.7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"55","FAN_174","V",42,20.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,4,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"56","FAN_175","V",137,40.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,3,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","FAN_176","V",210,128.7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"58","FAN_177",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"59","FAN_178","V",11,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","FAN_179","V",88,167,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,1,1,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"61","FAN_180","V",82,47.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"62","FAN_181","V",28,17.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"63","FAN_182",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","FAN_183","V",24,39.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"65","FAN_184","V",32,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","FAN_185",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","FAN_186","V",196,59.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","FAN_187","IV/V",274,138.6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","FAN_188","IV/V",72,19.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","FAN_189","IV/V",83,76.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,0,0,0,1,0,12,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","FAN_190","IV/V",20,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"72","FAN_191","IV/V",118,90.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","FAN_192",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","FAN_193","IV/V",42,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","FAN_194","IV",34,47.3,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,38,0,1,0,0,0,21,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"76","FAN_195","IV",32,67.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,80,0,1,0,0,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","FAN_196","V",173,131.2,0,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,13,1,107,1,1,0,0,0,38,0,0,0,36,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","FAN_197","III",5,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","FAN_198","III",211,198.6,2,3,0,0,134,0,0,1,0,5,0,5,0,0,1,1,0,0,1,7,0,0,1,5,115,18,7,0,0,0,0,1,140,1,2,0,123,10,0,0,0,0,0,0,0,0,0,0,0,0,7,0
"80","FAN_199","III",76,5.6,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,9,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","FAN_200","III",164,47.4,0,0,0,0,41,0,0,0,0,2,0,1,0,0,0,0,0,0,0,5,0,0,0,3,42,7,0,0,0,0,0,0,40,0,0,0,29,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82","FAN_201","III",84,85.9,0,0,0,0,74,0,0,5,0,17,0,3,0,0,0,0,0,0,0,2,0,0,0,0,71,17,0,0,0,0,0,0,201,0,1,0,87,14,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"83","FAN_202","III",93,32.8,0,1,0,0,48,0,0,4,0,1,0,2,0,0,0,0,0,0,0,4,0,0,0,3,40,2,0,0,2,0,2,2,99,0,1,0,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"84","FAN_203","III",52,28.3,1,1,0,0,39,0,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,0,1,0,25,2,0,0,1,0,0,0,56,0,1,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0
"85","FAN_204","III",36,17.8,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,14,0,0,0,13,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"86","FAN_205","III",85,26,1,0,0,0,17,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,0,0,0,4,11,3,0,0,0,0,0,0,31,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87","FAN_206","III",21,23.8,0,0,0,0,25,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,4,0,0,1,0,0,0,41,0,0,0,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"88","FAN_207","III",122,53.6,0,1,0,0,160,0,0,1,0,8,0,5,0,0,0,2,0,0,0,3,0,0,0,11,72,25,2,0,1,0,0,3,284,1,5,0,67,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"89","FAN_208","III",69,82.6,0,0,0,0,131,0,0,1,0,2,0,0,0,0,0,2,0,0,0,9,0,0,2,5,75,4,1,1,0,0,0,0,100,1,3,0,43,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"90","FAN_209",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"91","FAN_210","III",18,30,1,0,0,0,43,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,1,8,18,7,6,0,2,0,0,0,72,0,2,0,28,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"92","FAN_211","III",564,381.3,0,0,0,0,87,0,0,0,0,0,0,2,0,0,0,0,1,0,0,8,0,0,0,2,29,3,0,0,0,0,0,0,239,0,0,0,253,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"93","FAN_212","III",564,288.3,4,0,0,0,163,0,0,11,0,6,0,7,0,0,0,1,0,0,0,14,0,0,0,3,66,35,2,0,0,0,0,0,373,0,0,0,77,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"94","FAN_213","III",46,27.5,1,0,0,0,12,0,0,2,0,1,0,2,0,0,0,3,0,0,0,2,0,0,0,0,4,0,1,0,0,0,0,0,71,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"95","FAN_214","III",11,12.2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"96","FAN_215","III",146,152,2,0,0,0,91,0,0,8,0,0,0,5,0,0,0,0,0,0,0,6,0,0,0,3,27,1,5,0,0,0,0,0,186,0,1,0,48,27,0,0,0,0,0,0,0,0,0,0,0,0,4,0
"97","FAN_216","III",55,101.4,1,1,0,0,26,0,0,4,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,8,1,23,0,0,0,0,0,115,0,0,0,59,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"98","FAN_217","III",62,28.7,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,0,0,0,0,0,69,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"99","FAN_218","III",176,121.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"100","FAN_219","III",247,274.9,2,3,0,0,0,0,0,7,0,3,0,2,0,0,0,6,0,0,0,4,0,0,1,7,13,6,3,1,0,0,0,0,527,0,0,0,209,10,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"101","FAN_220","III",19,13.6,1,0,0,0,21,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,1,0,0,0,57,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"102","FAN_221","III",317,192.1,4,0,0,0,145,0,0,15,0,1,0,3,0,0,1,7,0,0,0,4,0,0,1,17,19,18,0,1,0,0,0,2,378,1,0,1,108,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"103","FAN_222","III",599,204.6,2,0,0,0,110,0,0,15,0,0,0,7,0,0,0,5,0,0,0,1,0,0,0,0,21,11,0,1,2,0,0,0,69,0,0,0,18,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"104","FAN_223",NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"105","FAN_224","III",176,132.2,2,0,0,0,59,0,0,8,0,1,0,4,0,0,0,1,0,0,0,8,0,0,0,5,4,3,2,0,0,0,0,0,147,0,0,0,62,37,0,0,0,0,0,0,0,0,0,0,0,0,1,0
